country,group,year,resource,performance
한국,아시아,2020,2.037,2.206
한국,아시아,2021,2.223,2.231
한국,아시아,2022,2.206,2.286
한국,아시아,2023,2.236,2.332
한국,아시아,2024,2.193,2.302
일본,아시아,2020,2.509,2.887
일본,아시아,2021,2.515,2.847
일본,아시아,2022,2.451,2.849
일본,아시아,2023,2.403,2.882
일본,아시아,2024,2.352,2.857
이스라엘,아시아,2020,1.211,1.531
이스라엘,아시아,2021,1.272,1.659
이스라엘,아시아,2022,1.274,1.733
이스라엘,아시아,2023,1.268,1.801
이스라엘,아시아,2024,1.202,1.741
튀르키예,아시아,2020,1.118,0.875
튀르키예,아시아,2021,1.128,0.875
튀르키예,아시아,2022,1.129,0.875
튀르키예,아시아,2023,1.092,0.875
튀르키예,아시아,2024,1.085,0.875
오스트리아,유럽,2020,1.276,1.566
오스트리아,유럽,2021,1.328,1.569
오스트리아,유럽,2022,1.206,1.599
오스트리아,유럽,2023,1.334,1.561
오스트리아,유럽,2024,1.233,1.435
벨기에,유럽,2020,1.385,1.693
벨기에,유럽,2021,1.408,1.646
벨기에,유럽,2022,1.372,1.59
벨기에,유럽,2023,1.388,1.444
벨기에,유럽,2024,1.397,1.326
체코,유럽,2020,0.968,1.066
체코,유럽,2021,0.928,1.023
체코,유럽,2022,0.934,1.054
체코,유럽,2023,0.904,0.985
체코,유럽,2024,0.894,0.964
덴마크,유럽,2020,1.628,2.693
덴마크,유럽,2021,1.606,2.659
덴마크,유럽,2022,1.586,2.653
덴마크,유럽,2023,1.571,2.734
덴마크,유럽,2024,1.523,2.737
핀란드,유럽,2020,1.528,2.144
핀란드,유럽,2021,1.489,2.133
핀란드,유럽,2022,1.475,2.089
핀란드,유럽,2023,1.474,2.176
핀란드,유럽,2024,1.511,2.174
프랑스,유럽,2020,1.916,2.48
프랑스,유럽,2021,1.943,2.479
프랑스,유럽,2022,1.906,2.492
프랑스,유럽,2023,1.944,2.645
프랑스,유럽,2024,1.919,2.672
독일,유럽,2020,2.343,3.023
독일,유럽,2021,2.291,2.994
독일,유럽,2022,2.211,3.004
독일,유럽,2023,2.161,2.978
독일,유럽,2024,2.119,2.848
그리스,유럽,2020,0.754,0.739
그리스,유럽,2021,0.732,0.704
그리스,유럽,2022,0.67,0.771
그리스,유럽,2023,0.678,0.766
그리스,유럽,2024,0.655,0.753
헝가리,유럽,2020,0.739,1.722
헝가리,유럽,2021,0.666,1.81
헝가리,유럽,2022,0.644,1.856
헝가리,유럽,2023,0.6,1.873
헝가리,유럽,2024,0.646,1.782
아이슬란드,유럽,2020,1.062,1.096
아이슬란드,유럽,2021,1.037,1.037
아이슬란드,유럽,2022,1.009,1.134
아이슬란드,유럽,2023,0.957,1.129
아이슬란드,유럽,2024,0.959,1.085
아일랜드,유럽,2020,0.961,2.144
아일랜드,유럽,2021,0.977,2.137
아일랜드,유럽,2022,0.989,2.11
아일랜드,유럽,2023,0.999,2.202
아일랜드,유럽,2024,0.957,2.208
이탈리아,유럽,2020,1.077,1.464
이탈리아,유럽,2021,1.058,1.484
이탈리아,유럽,2022,1.076,1.549
이탈리아,유럽,2023,1.086,1.581
이탈리아,유럽,2024,1.087,1.566
라트비아,유럽,2020,0.23,0.575
라트비아,유럽,2021,0.258,0.619
라트비아,유럽,2022,0.303,0.697
라트비아,유럽,2023,0.288,0.597
라트비아,유럽,2024,0.303,0.568
룩셈부르크,유럽,2020,1.918,2.48
룩셈부르크,유럽,2021,1.943,2.479
룩셈부르크,유럽,2022,1.906,2.492
룩셈부르크,유럽,2023,1.944,2.645
룩셈부르크,유럽,2024,1.919,2.672
네덜란드,유럽,2020,1.494,2.079
네덜란드,유럽,2021,1.526,2.099
네덜란드,유럽,2022,1.489,2.116
네덜란드,유럽,2023,1.503,2.179
네덜란드,유럽,2024,1.53,2.132
노르웨이,유럽,2020,1.196,1.769
노르웨이,유럽,2021,1.246,1.711
노르웨이,유럽,2022,1.229,1.943
노르웨이,유럽,2023,1.217,2.213
노르웨이,유럽,2024,1.205,2.174
폴란드,유럽,2020,0.844,0.812
폴란드,유럽,2021,0.824,0.771
폴란드,유럽,2022,0.844,0.73
폴란드,유럽,2023,0.885,0.786
폴란드,유럽,2024,0.84,0.85
포르투갈,유럽,2020,1.193,1.296
포르투갈,유럽,2021,1.2,1.254
포르투갈,유럽,2022,1.242,1.44
포르투갈,유럽,2023,1.227,1.744
포르투갈,유럽,2024,1.247,1.744
슬로바키아,유럽,2020,1.135,0.751
슬로바키아,유럽,2021,1.096,0.751
슬로바키아,유럽,2022,1.096,0.751
슬로바키아,유럽,2023,1.077,0.751
슬로바키아,유럽,2024,1.086,0.751
스페인,유럽,2020,1.938,2.48
스페인,유럽,2021,1.943,2.479
스페인,유럽,2022,1.906,2.492
스페인,유럽,2023,1.944,2.645
스페인,유럽,2024,1.919,2.672
스웨덴,유럽,2020,1.528,2.479
스웨덴,유럽,2021,1.489,2.458
스웨덴,유럽,2022,1.475,2.526
스웨덴,유럽,2023,1.474,2.644
스웨덴,유럽,2024,1.511,2.593
스위스,유럽,2020,2.343,3.491
스위스,유럽,2021,2.291,3.311
스위스,유럽,2022,2.211,3.482
스위스,유럽,2023,2.161,3.643
스위스,유럽,2024,2.119,4.059
영국,유럽,2020,2.6,2.793
영국,유럽,2021,2.508,2.659
영국,유럽,2022,2.45,3.153
영국,유럽,2023,2.402,3.491
영국,유럽,2024,2.352,3.491
미국,북미,2020,6.037,2.906
미국,북미,2021,6.002,3.144
미국,북미,2022,6.023,3.184
미국,북미,2023,6.065,3.424
미국,북미,2024,6.003,4.059
캐나다,북미,2020,2.343,3.023
캐나다,북미,2021,2.291,2.994
캐나다,북미,2022,2.211,3.004
캐나다,북미,2023,2.161,2.978
캐나다,북미,2024,2.119,2.848
칠레,남미,2020,0.428,0.672
칠레,남미,2021,0.378,0.704
칠레,남미,2022,0.43,0.771
